Communes;Codes_Insee;Numero_departement;NB_allocataires;Dont_RSA_jeune;NB_allocataire_RSA;RSA_majore;RSA_non_Majore
VILLY-LEZ-FALAISE;14759;14;30;;;;
VILLY-BOCAGE;14760;14;110;;8;;
VIMONT;14761;14;126;;;;
VIRE NORMANDIE;14762;14;3427;;382;45;337
PONT-D'OUILLY;14764;14;161;;25;;
ALLANCHE;15001;15;96;;;;
ALLEUZE;15002;15;16;;;;
ALLY;15003;15;87;;6;;
ANDELAT;15004;15;61;;;;
ANGLARDS-DE-SAINT-FLOUR;15005;15;46;;;;
ANGLARDS-DE-SALERS;15006;15;71;;;;
ANTERRIEUX;15007;15;11;;;;
ANTIGNAC;15008;15;36;;;;
APCHON;15009;15;14;;;;
ARCHES;15010;15;21;;;;
ARNAC;15011;15;17;;;;
ARPAJON-SUR-CERE;15012;15;902;;72;;
AURIAC-L'EGLISE;15013;15;14;;;;
AURILLAC;15014;15;6722;;881;93;788
AUZERS;15015;15;12;;;;
AYRENS;15016;15;81;;5;;
BADAILHAC;15017;15;11;;;;
BARRIAC-LES-BOSQUETS;15018;15;8;;;;
BASSIGNAC;15019;15;25;;;;
BEAULIEU;15020;15;9;;;;
BOISSET;15021;15;66;;7;;
BONNAC;15022;15;11;;;;
BRAGEAC;15024;15;7;;;;
ALBEPIERRE-BREDONS;15025;15;23;;;;
BREZONS;15026;15;;;;;
CALVINET;15027;15;50;;;;
CARLAT;15028;15;34;;;;
CASSANIOUZE;15029;15;34;;;;
CAYROLS;15030;15;42;;6;;
CELOUX;15032;15;;;;;
CEZENS;15033;15;16;;;;
CHALIERS;15034;15;14;;;;
CHALVIGNAC;15036;15;54;;;;
CHAMPAGNAC;15037;15;150;;16;;
CHAMPS-SUR-TARENTAINE-MARCHAL;15038;15;118;;14;;
CHANTERELLE;15040;15;;;;;
LA CHAPELLE-D'ALAGNON;15041;15;24;;;;
LA CHAPELLE-LAURENT;15042;15;27;;;;
CHARMENSAC;15043;15;7;;;;
CHAUDES-AIGUES;15045;15;106;;;;
CHAUSSENAC;15046;15;19;;;;
CHAZELLES;15048;15;;;;;
CHEYLADE;15049;15;14;;;;
LE CLAUX;15050;15;14;;;;
CLAVIERES;15051;15;17;;;;
COLLANDRES;15052;15;18;;;;
COLTINES;15053;15;55;;;;
CONDAT;15054;15;136;;5;;
COREN;15055;15;56;;;;
CRANDELLES;15056;15;119;;;;
CROS-DE-MONTVERT;15057;15;18;;;;
CROS-DE-RONESQUE;15058;15;13;;;;
CUSSAC;15059;15;9;;;;
DEUX-VERGES;15060;15;;;;;
DIENNE;15061;15;22;;;;
DRUGEAC;15063;15;42;;;;
ESCORAILLES;15064;15;7;;;;
ESPINASSE;15065;15;6;;;;
LE FALGOUX;15066;15;9;;;;
LE FAU;15067;15;;;;;
FERRIERES-SAINT-MARY;15069;15;21;;;;
FONTANGES;15070;15;18;;;;
FREIX-ANGLARDS;15072;15;20;;;;
FRIDEFONT;15073;15;6;;;;
GIOU-DE-MAMOU;15074;15;93;;6;;
GIRGOLS;15075;15;8;;;;
GLENAT;15076;15;12;;;;
GOURDIEGES;15077;15;;;;;
JABRUN;15078;15;9;;;;
JALEYRAC;15079;15;36;;5;;
JOURSAC;15080;15;6;;;;
JOU-SOUS-MONJOU;15081;15;9;;;;
JUNHAC;15082;15;13;;;;
JUSSAC;15083;15;277;;6;;
LABESSERETTE;15084;15;34;;;;
LABROUSSE;15085;15;71;;;;
LACAPELLE-BARRES;15086;15;;;;;
LACAPELLE-DEL-FRAISSE;15087;15;32;;;;
LACAPELLE-VIESCAMP;15088;15;55;;;;
LADINHAC;15089;15;49;;;;
LAFEUILLADE-EN-VEZIE;15090;15;82;;;;
LANDEYRAT;15091;15;;;;;
LANOBRE;15092;15;152;;13;;
LAPEYRUGUE;15093;15;6;;;;
LAROQUEBROU;15094;15;180;;10;;
LAROQUEVIEILLE;15095;15;40;;;;
LASCELLE;15096;15;29;;;;
LASTIC;15097;15;7;;;;
LAURIE;15098;15;7;;;;
LAVEISSENET;15100;15;14;;;;
LAVEISSIERE;15101;15;71;;;;
LAVIGERIE;15102;15;11;;;;
LEUCAMP;15103;15;21;;;;
LEYNHAC;15104;15;20;;;;
LEYVAUX;15105;15;;;;;
LIEUTADES;15106;15;;;;;
LORCIERES;15107;15;13;;;;
VAL D'ARCOMIE;15108;15;96;;7;;
LUGARDE;15110;15;16;;;;
MADIC;15111;15;12;;;;
MALBO;15112;15;5;;;;
MANDAILLES-SAINT-JULIEN;15113;15;19;;;;
MARCENAT;15114;15;62;;;;
MARCHASTEL;15116;15;9;;;;
MARCOLES;15117;15;59;;;;
MARMANHAC;15118;15;92;;5;;
MASSIAC;15119;15;296;;32;;
MAURIAC;15120;15;661;;39;;
MAURINES;15121;15;9;;;;
MAURS;15122;15;346;;40;;
MEALLET;15123;15;12;;;;
MENET;15124;15;71;;;;
MENTIERES;15125;15;11;;;;
MOLEDES;15126;15;;;;;
MOLOMPIZE;15127;15;35;;9;;
LA MONSELIE;15128;15;12;;;;
MONTBOUDIF;15129;15;10;;;;
MONTCHAMP;15130;15;12;;;;
LE MONTEIL;15131;15;31;;;;
MONTGRELEIX;15132;15;;;;;
MONTMURAT;15133;15;18;;;;
MONTSALVY;15134;15;114;;12;;
MONTVERT;15135;15;10;;;;
MOURJOU;15136;15;18;;;;
MOUSSAGES;15137;15;33;;;;
MURAT;15138;15;297;;17;;
NARNHAC;15139;15;5;;;;
NAUCELLES;15140;15;241;;9;;
NEUSSARGUES EN PINATELLE;15141;15;186;;16;;
NEUVEGLISE-SUR-TRUYERE;15142;15;182;;7;;
NIEUDAN;15143;15;14;;;;
OMPS;15144;15;37;;;;
PAILHEROLS;15146;15;8;;;;
PARLAN;15147;15;62;;;;
PAULHAC;15148;15;33;;;;
PAULHENC;15149;15;92;;;;
PEYRUSSE;15151;15;7;;;;
PIERREFORT;15152;15;129;;;;
PLEAUX;15153;15;174;;9;;
POLMINHAC;15154;15;154;;5;;
PRADIERS;15155;15;;;;;
PRUNET;15156;15;90;;;;
QUEZAC;15157;15;30;;;;
RAGEADE;15158;15;8;;;;
RAULHAC;15159;15;30;;;;
REILHAC;15160;15;151;;;;
REZENTIERES;15161;15;10;;;;
RIOM-ES-MONTAGNES;15162;15;384;;29;;
ROANNES-SAINT-MARY;15163;15;136;;;;
ROFFIAC;15164;15;67;;;;
ROUFFIAC;15165;15;19;;;;
ROUMEGOUX;15166;15;43;;;;
ROUZIERS;15167;15;19;;;;
RUYNES-EN-MARGERIDE;15168;15;92;;;;
SAIGNES;15169;15;140;;9;;
SAINT-AMANDIN;15170;15;23;;;;
SAINT-ANTOINE;15172;15;;;;;
SAINT-BONNET-DE-CONDAT;15173;15;5;;;;
SAINT-BONNET-DE-SALERS;15174;15;13;;;;
SAINT-CERNIN;15175;15;119;;11;;
SAINT-CHAMANT;15176;15;33;;;;
SAINT-CIRGUES-DE-JORDANNE;15178;15;19;;;;
SAINT-CIRGUES-DE-MALBERT;15179;15;27;;;;
SAINT-CLEMENT;15180;15;5;;;;
SAINT-CONSTANT-FOURNOULES;15181;15;52;;6;;
SAINT-ETIENNE-CANTALES;15182;15;15;;;;
SAINT-ETIENNE-DE-CARLAT;15183;15;17;;;;
SAINT-ETIENNE-DE-MAURS;15184;15;81;;;;
SAINT-ETIENNE-DE-CHOMEIL;15185;15;21;;;;
SAINTE-EULALIE;15186;15;20;;;;
SAINT-FLOUR;15187;15;1383;;135;14;121
SAINT-GEORGES;15188;15;140;;6;;
SAINT-GERONS;15189;15;23;;;;
SAINT-HIPPOLYTE;15190;15;5;;;;
SAINT-ILLIDE;15191;15;139;;8;;
SAINT-JACQUES-DES-BLATS;15192;15;34;;;;
SAINT-JULIEN-DE-TOURSAC;15194;15;7;;;;
SAINT-MAMET-LA-SALVETAT;15196;15;186;;10;;
SAINTE-MARIE;15198;15;5;;;;
SAINT-MARTIAL;15199;15;13;;;;
SAINT-MARTIN-CANTALES;15200;15;11;;;;
SAINT-MARTIN-SOUS-VIGOUROUX;15201;15;16;;;;
SAINT-MARTIN-VALMEROUX;15202;15;78;;;;
SAINT-MARY-LE-PLAIN;15203;15;14;;;;
SAINT-PAUL-DES-LANDES;15204;15;194;;7;;
SAINT-PAUL-DE-SALERS;15205;15;8;;;;
SAINT-PIERRE;15206;15;9;;;;
SAINT-PONCY;15207;15;31;;;;
SAINT-PROJET-DE-SALERS;15208;15;16;;;;
SAINT-REMY-DE-CHAUDES-AIGUES;15209;15;;;;;
SAINT-SANTIN-CANTALES;15211;15;37;;5;;
SAINT-SANTIN-DE-MAURS;15212;15;45;;;;
SAINT-SATURNIN;15213;15;14;;;;
SAINT-SAURY;15214;15;14;;;;
SAINT-SIMON;15215;15;131;;;;
SAINT-URCIZE;15216;15;39;;;;
SAINT-VICTOR;15217;15;13;;;;
SAINT-VINCENT-DE-SALERS;15218;15;;;;;
SALERS;15219;15;45;;;;
SALINS;15220;15;7;;;;
SANSAC-DE-MARMIESSE;15221;15;204;;24;;
SANSAC-VEINAZES;15222;15;20;;;;
SAUVAT;15223;15;26;;;;
LA SEGALASSIERE;15224;15;8;;;;
SEGUR-LES-VILLAS;15225;15;19;;;;
SENEZERGUES;15226;15;11;;;;
SIRAN;15228;15;39;;;;
SOULAGES;15229;15;;;;;
SOURNIAC;15230;15;25;;;;
TALIZAT;15231;15;71;;;;
TANAVELLE;15232;15;25;;;;
TEISSIERES-DE-CORNET;15233;15;37;;;;
TEISSIERES-LES-BOULIES;15234;15;36;;;;
LES TERNES;15235;15;71;;;;
THIEZAC;15236;15;72;;6;;
TIVIERS;15237;15;21;;;;
TOURNEMIRE;15238;15;;;;;
TREMOUILLE;15240;15;17;;;;
LA TRINITAT;15241;15;;;;;
LE TRIOULOU;15242;15;11;;;;
TRIZAC;15243;15;50;;5;;
USSEL;15244;15;73;;;;
VABRES;15245;15;27;;;;
VALETTE;15246;15;27;;;;
VALJOUZE;15247;15;;;;;
VALUEJOLS;15248;15;65;;;;
LE VAULMIER;15249;15;7;;;;
VEBRET;15250;15;57;;6;;
VEDRINES-SAINT-LOUP;15251;15;6;;;;
VELZIC;15252;15;54;;;;
VERNOLS;15253;15;6;;;;
VEYRIERES;15254;15;8;;;;
VEZAC;15255;15;157;;8;;
VEZE;15256;15;5;;;;
VEZELS-ROUSSY;15257;15;16;;;;
VIC-SUR-CERE;15258;15;332;;20;;
VIEILLESPESSE;15259;15;21;;;;
VIEILLEVIE;15260;15;;;;;
LE VIGEAN;15261;15;74;;;;
VILLEDIEU;15262;15;79;;6;;
VIRARGUES;15263;15;22;;;;
VITRAC;15264;15;35;;5;;
YDES;15265;15;285;;19;;
YOLET;15266;15;67;;;;
YTRAC;15267;15;612;;27;;
LE ROUGET-PERS;15268;15;153;;10;;
BESSE;15269;15;15;;;;
ABZAC;16001;16;86;;15;;
LES ADJOTS;16002;16;77;;11;;
AGRIS;16003;16;130;;10;;
AIGRE;16005;16;226;;42;;
ALLOUE;16007;16;57;;9;;
AMBERAC;16008;16;42;;8;;
AMBERNAC;16009;16;46;;8;;
AMBLEVILLE;16010;16;21;;;;
ANAIS;16011;16;89;;15;;
ANGEAC-CHAMPAGNE;16012;16;52;;8;;
ANGEAC-CHARENTE;16013;16;27;;;;
ANGEDUC;16014;16;18;;;;
ANGOULEME;16015;16;12767;;3041;389;2652
ANSAC-SUR-VIENNE;16016;16;88;;8;;
ANVILLE;16017;16;29;;;;
ARS;16018;16;82;;5;;
ASNIERES-SUR-NOUERE;16019;16;173;;13;;
AUBETERRE-SUR-DRONNE;16020;16;47;;6;;
AUNAC-SUR-CHARENTE;16023;16;91;;16;;
AUSSAC-VADALLE;16024;16;81;;9;;
BAIGNES-SAINTE-RADEGONDE;16025;16;195;;25;6;19
BALZAC;16026;16;156;;10;;
BARBEZIERES;16027;16;13;;;;
BARBEZIEUX-SAINT-HILAIRE;16028;16;1047;;157;23;134
BARDENAC;16029;16;34;;;;
BARRET;16030;16;124;;14;;
BARRO;16031;16;54;;9;;
BASSAC;16032;16;66;;5;;
BAZAC;16034;16;22;;;;
BEAULIEU-SUR-SONNETTE;16035;16;24;;;;
BECHERESSE;16036;16;46;;7;;
BELLON;16037;16;18;;6;;
BENEST;16038;16;28;;;;
BERNAC;16039;16;60;;7;;
BERNEUIL;16040;16;42;;5;;
BESSAC;16041;16;13;;;;
BESSE;16042;16;18;;;;
BIOUSSAC;16044;16;25;;5;;
BIRAC;16045;16;42;;;;
COTEAUX DU BLANZACAIS;16046;16;184;;33;;
BLANZAGUET-SAINT-CYBARD;16047;16;41;;;;
BOISBRETEAU;16048;16;10;;;;
BONNES;16049;16;45;;10;;
BONNEUIL;16050;16;26;;5;;
BONNEVILLE;16051;16;11;;;;
BORS (CANTON DE TUDE-ET-LAVALETTE);16052;16;27;;;;
BORS (CANTON DE CHARENTE-SUD);16053;16;16;;5;;
LE BOUCHAGE;16054;16;17;;;;
BOUEX;16055;16;109;;;;
BOURG-CHARENTE;16056;16;97;;6;;
BOUTEVILLE;16057;16;35;;;;
BOUTIERS-SAINT-TROJAN;16058;16;148;;6;;
BRETTES;16059;16;19;;9;;
BREVILLE;16060;16;46;;8;;
BRIE;16061;16;562;;31;;
BRIE-SOUS-BARBEZIEUX;16062;16;17;;;;
BRIE-SOUS-CHALAIS;16063;16;11;;;;
BRIGUEUIL;16064;16;142;;21;;
BRILLAC;16065;16;80;;26;;
BROSSAC;16066;16;64;;12;;
BUNZAC;16067;16;74;;9;;
CELLEFROUIN;16068;16;71;;19;;
CELLETTES;16069;16;63;;6;;
CHABANAIS;16070;16;264;;53;8;45
CHABRAC;16071;16;83;;11;;
CHADURIE;16072;16;59;;;;
CHALAIS;16073;16;354;;99;9;90
CHALLIGNAC;16074;16;38;;;;
CHAMPAGNE-VIGNY;16075;16;44;;;;
CHAMPAGNE-MOUTON;16076;16;144;;18;;
CHAMPMILLON;16077;16;60;;;;
CHAMPNIERS;16078;16;609;;46;5;41
CHANTILLAC;16079;16;39;;7;;
LA CHAPELLE;16081;16;26;;6;;
BOISNE-LA TUDE;16082;16;99;;13;;
CHARME;16083;16;49;;12;;
CHARRAS;16084;16;32;;;;
CHASSENEUIL-SUR-BONNIEURE;16085;16;576;;82;17;65
CHASSENON;16086;16;112;;23;;
CHASSIECQ;16087;16;14;;;;
CHASSORS;16088;16;130;;17;;
CHATEAUBERNARD;16089;16;547;;76;5;71
CHATEAUNEUF-SUR-CHARENTE;16090;16;596;;74;7;67
CHATIGNAC;16091;16;24;;5;;
CHAZELLES;16093;16;199;;12;;
CHENON;16095;16;14;;;;
CHERVES-CHATELARS;16096;16;44;;6;;
CHERVES-RICHEMONT;16097;16;254;;26;;
LA CHEVRERIE;16098;16;13;;;;
CHILLAC;16099;16;19;;;;
CHIRAC;16100;16;76;;11;;
CLAIX;16101;16;157;;8;;
COGNAC;16102;16;4307;;930;124;806
COMBIERS;16103;16;15;;;;
CONDAC;16104;16;67;;13;;
CONDEON;16105;16;69;;;;
CONFOLENS;16106;16;478;;90;12;78
COULGENS;16107;16;79;;13;;
COULONGES;16108;16;22;;;;
COURBILLAC;16109;16;115;;9;;
COURCOME;16110;16;46;;13;;
COURGEAC;16111;16;11;;;;
COURLAC;16112;16;7;;;;
LA COURONNE;16113;16;1959;;271;33;238
COUTURE;16114;16;15;;;;
CRITEUIL-LA-MAGDELEINE;16116;16;41;;6;;
CURAC;16117;16;17;;;;
DEVIAT;16118;16;23;;8;;
DIGNAC;16119;16;199;;20;;
DIRAC;16120;16;208;;13;;
DOUZAT;16121;16;57;;6;;
EBREON;16122;16;18;;;;
ECHALLAT;16123;16;61;;;;
ECURAS;16124;16;70;;17;;
EDON;16125;16;29;;;;
EMPURE;16127;16;10;;;;
EPENEDE;16128;16;12;;;;
LES ESSARDS;16130;16;8;;;;
ESSE;16131;16;67;;10;;
ETAGNAC;16132;16;144;;12;;
ETRIAC;16133;16;28;;;;
EXIDEUIL;16134;16;125;;12;;
EYMOUTHIERS;16135;16;45;;;;
LA FAYE;16136;16;63;;9;;
FEUILLADE;16137;16;29;;;;
FLEAC;16138;16;572;;58;9;49
FLEURAC;16139;16;31;;;;
FONTCLAIREAU;16140;16;49;;8;;
FONTENILLE;16141;16;30;;;;
LA FORET-DE-TESSE;16142;16;14;;;;
FOUQUEBRUNE;16143;16;93;;;;
FOUQUEURE;16144;16;48;;5;;
FOUSSIGNAC;16145;16;76;;;;
GARAT;16146;16;262;;24;;
GARDES-LE-PONTAROUX;16147;16;33;;;;
GENAC-BIGNAC;16148;16;130;;16;;
GENOUILLAC;16149;16;88;;12;;
GENSAC-LA-PALLUE;16150;16;167;;19;;
GENTE;16151;16;103;;13;;
GIMEUX;16152;16;71;;6;;
GONDEVILLE;16153;16;59;;7;;
GOND-PONTOUVRE;16154;16;1184;;189;31;158
LES GOURS;16155;16;7;;;;
GOURVILLE;16156;16;100;;15;;
LE GRAND-MADIEU;16157;16;17;;;;
GRASSAC;16158;16;46;;7;;
GUIMPS;16160;16;33;;;;
GUIZENGEARD;16161;16;26;;5;;
GURAT;16162;16;15;;;;
HIERSAC;16163;16;186;;23;5;18
HIESSE;16164;16;29;;;;
HOULETTE;16165;16;52;;5;;
L'ISLE-D'ESPAGNAC;16166;16;1041;;156;12;144
JARNAC;16167;16;857;;119;10;109
JAULDES;16168;16;100;;5;;
JAVREZAC;16169;16;79;;10;;
JUIGNAC;16170;16;38;;8;;
JUILLAC-LE-COQ;16171;16;68;;6;;
JUILLE;16173;16;22;;5;;
JULIENNE;16174;16;74;;6;;
VAL DES VIGNES;16175;16;164;;11;;
LACHAISE;16176;16;28;;;;
LADIVILLE;16177;16;13;;;;
LAGARDE-SUR-LE-NE;16178;16;21;;;;
LAPRADE;16180;16;26;;;;
LESSAC;16181;16;71;;11;;
LESTERPS;16182;16;45;;10;;
LESIGNAC-DURAND;16183;16;12;;;;
LICHERES;16184;16;7;;;;
LIGNE;16185;16;21;;;;
LIGNIERES-SONNEVILLE;16186;16;79;;;;
LINARS;16187;16;236;;31;;
LE LINDOIS;16188;16;38;;9;;
LONDIGNY;16189;16;33;;6;;
LONGRE;16190;16;25;;5;;
LONNES;16191;16;24;;;;
ROUMAZIERES-LOUBERT;16192;16;407;;56;6;50
LOUZAC-SAINT-ANDRE;16193;16;128;;16;;
LUPSAULT;16194;16;9;;;;
LUSSAC;16195;16;49;;9;;
LUXE;16196;16;112;;15;;
LA MAGDELEINE;16197;16;8;;;;
MAGNAC-LAVALETTE-VILLARS;16198;16;51;;;;
MAGNAC-SUR-TOUVRE;16199;16;462;;50;;
MAINE-DE-BOIXE;16200;16;64;;;;
MAINXE;16202;16;92;;6;;
MAINZAC;16203;16;11;;;;
BELLEVIGNE;16204;16;130;;10;;
MANOT;16205;16;75;;17;;
MANSLE;16206;16;339;;61;8;53
MARCILLAC-LANVILLE;16207;16;73;;16;;
MAREUIL;16208;16;53;;5;;
MARILLAC-LE-FRANC;16209;16;103;;5;;
MARSAC;16210;16;85;;;;
MARTHON;16211;16;87;;10;;
MASSIGNAC;16212;16;45;;7;;
MAZEROLLES;16213;16;25;;5;;
MAZIERES;16214;16;16;;;;
MEDILLAC;16215;16;19;;;;
MERIGNAC;16216;16;127;;13;;
MERPINS;16217;16;137;;8;;
MESNAC;16218;16;69;;5;;
LES METAIRIES;16220;16;94;;9;;
MONS;16221;16;32;;5;;
MONTBOYER;16222;16;45;;12;;
MONTBRON;16223;16;362;;69;10;59
MONTMERAC;16224;16;87;;11;;
MONTEMB�UF;16225;16;95;;15;;
MONTIGNAC-CHARENTE;16226;16;119;;17;6;11
MONTIGNAC-LE-COQ;16227;16;15;;;;
MONTIGNE;16228;16;23;;;;
MONTJEAN;16229;16;30;;7;;
MONTMOREAU;16230;16;419;;68;5;63
MONTROLLET;16231;16;36;;5;;
MORNAC;16232;16;269;;20;;
MOSNAC;16233;16;56;;;;
MOULIDARS;16234;16;77;;5;;
MOUTHIERS-SUR-BOEME;16236;16;341;;29;;
MOUTON;16237;16;38;;8;;
MOUTONNEAU;16238;16;7;;;;
MOUZON;16239;16;7;;;;
NABINAUD;16240;16;11;;5;;
NANCLARS;16241;16;24;;;;
NANTEUIL-EN-VALLEE;16242;16;158;;30;;
NERCILLAC;16243;16;105;;10;;
NERSAC;16244;16;448;;60;10;50
NIEUIL;16245;16;119;;19;;
NONAC;16246;16;40;;;;
ORADOUR;16248;16;19;;;;
ORADOUR-FANAIS;16249;16;33;;15;;
ORGEDEUIL;16250;16;27;;5;;
ORIOLLES;16251;16;31;;;;
ORIVAL;16252;16;12;;;;
PAIZAY-NAUDOUIN-EMBOURIE;16253;16;37;;9;;
PALLUAUD;16254;16;31;;;;
PARZAC;16255;16;15;;6;;
PASSIRAC;16256;16;28;;;;
PERIGNAC;16258;16;59;;6;;
LA PERUSE;16259;16;72;;7;;
PILLAC;16260;16;28;;;;
LES PINS;16261;16;71;;7;;
PLASSAC-ROUFFIAC;16263;16;57;;;;
PLEUVILLE;16264;16;21;;;;
POULLIGNAC;16267;16;11;;;;
POURSAC;16268;16;22;;;;
PRANZAC;16269;16;107;;7;;
PRESSIGNAC;16270;16;31;;9;;
PUYMOYEN;16271;16;241;;24;5;19
PUYREAUX;16272;16;75;;12;;
RAIX;16273;16;22;;6;;
RANCOGNE;16274;16;51;;;;
RANVILLE-BREUILLAUD;16275;16;20;;;;
REIGNAC;16276;16;91;;10;;
REPARSAC;16277;16;81;;6;;
RIOUX-MARTIN;16279;16;28;;5;;
RIVIERES;16280;16;221;;20;;
LA ROCHEFOUCAULD;16281;16;750;;95;10;85
LA ROCHETTE;16282;16;72;;10;;
RONSENAC;16283;16;91;;12;;
ROUFFIAC;16284;16;10;;;;
ROUGNAC;16285;16;53;;9;;
ROUILLAC;16286;16;375;;37;6;31
ROULLET-SAINT-ESTEPHE;16287;16;602;;51;7;44
ROUSSINES;16289;16;26;;7;;
ROUZEDE;16290;16;24;;;;
RUELLE-SUR-TOUVRE;16291;16;1276;;175;17;158
RUFFEC;16292;16;866;;199;23;176
SAINT-ADJUTORY;16293;16;60;;;;
SAINT-AMANT-DE-BOIXE;16295;16;238;;31;5;26
GRAVES-SAINT-AMANT;16297;16;26;;;;
SAINT-AMANT-DE-NOUERE;16298;16;44;;;;
VAL-DE-BONNIEURE;16300;16;101;;11;;
SAINT-AULAIS-LA-CHAPELLE;16301;16;28;;;;
SAINT-AVIT;16302;16;33;;9;;
SAINT-BONNET;16303;16;55;;5;;
SAINT-BRICE;16304;16;98;;6;;
SAINT-CHRISTOPHE;16306;16;36;;10;;
SAINT-CIERS-SUR-BONNIEURE;16307;16;45;;;;
SAINT-CLAUD;16308;16;237;;32;;
SAINT-COUTANT;16310;16;23;;;;
SAINT-CYBARDEAUX;16312;16;117;;10;;
SAINT-FELIX;16315;16;9;;;;
SAINT-FORT-SUR-LE-NE;16316;16;41;;;;
SAINT-FRAIGNE;16317;16;59;;11;;
SAINT-FRONT;16318;16;75;;8;;
SAINT-GENIS-D'HIERSAC;16320;16;118;;17;;
SAINT-GEORGES;16321;16;;;;;
SAINT-GERMAIN-DE-MONTBRON;16323;16;59;;9;;
SAINT-GOURSON;16325;16;14;;;;
SAINT-GROUX;16326;16;16;;;;
SAINT-LAURENT-DE-CERIS;16329;16;116;;27;;
SAINT-LAURENT-DE-COGNAC;16330;16;103;;10;;
SAINT-LAURENT-DES-COMBES;16331;16;10;;;;
SAINT-LEGER;16332;16;15;;;;
SAINT-MARTIAL;16334;16;15;;;;
SAINT-MARTIN-DU-CLOCHER;16335;16;17;;;;
SAINT-MARY;16336;16;36;;;;
SAINT-MAURICE-DES-LIONS;16337;16;112;;16;;
SAINT-MEDARD;16338;16;43;;9;;
AUGE-SAINT-MEDARD;16339;16;34;;9;;
SAINT-MEME-LES-CARRIERES;16340;16;138;;20;;
SAINT-MICHEL;16341;16;705;;86;10;76
SAINT-PALAIS-DU-NE;16342;16;31;;10;;
SAINT-PREUIL;16343;16;28;;;;
SAINT-PROJET-SAINT-CONSTANT;16344;16;145;;16;;
SAINT-QUENTIN-SUR-CHARENTE;16345;16;13;;;;
SAINT-QUENTIN-DE-CHALAIS;16346;16;20;;;;
SAINT-ROMAIN;16347;16;53;;5;;
SAINT-SATURNIN;16348;16;170;;22;;
SAINTE-SEVERE;16349;16;46;;;;
SAINT-SEVERIN;16350;16;114;;20;;
SAINT-SIMEUX;16351;16;79;;6;;
SAINT-SIMON;16352;16;33;;;;
SAINT-SORNIN;16353;16;102;;12;;
SAINTE-SOULINE;16354;16;15;;;;
SAINT-SULPICE-DE-COGNAC;16355;16;148;;13;;
SAINT-SULPICE-DE-RUFFEC;16356;16;;;;;
SAINT-VALLIER;16357;16;15;;;;
SAINT-YRIEIX-SUR-CHARENTE;16358;16;1090;;141;19;122
SALLES-D'ANGLES;16359;16;110;;8;;
SALLES-DE-BARBEZIEUX;16360;16;40;;;;
SALLES-DE-VILLEFAGNAN;16361;16;42;;8;;
SALLES-LAVALETTE;16362;16;48;;7;;
SAULGOND;16363;16;67;;12;;
SAUVAGNAC;16364;16;5;;;;
SAUVIGNAC;16365;16;13;;;;
SEGONZAC;16366;16;275;;30;;
SERS;16368;16;136;;12;;
SIGOGNE;16369;16;116;;11;;
SIREUIL;16370;16;158;;19;;
SOUFFRIGNAC;16372;16;14;;;;
SOUVIGNE;16373;16;29;;;;
SOYAUX;16374;16;2333;;651;95;556
SUAUX;16375;16;51;;5;;
SURIS;16376;16;29;;;;
LA TACHE;16377;16;13;;;;
TAIZE-AIZIE;16378;16;73;;8;;
TAPONNAT-FLEURIGNAC;16379;16;210;;17;;
LE TATRE;16380;16;60;;6;;
THEIL-RABIER;16381;16;24;;5;;
TORSAC;16382;16;80;;7;;
TOURRIERS;16383;16;129;;9;;
TOUVERAC;16384;16;72;;10;;
TOUVRE;16385;16;143;;7;;
TRIAC-LAUTRAIT;16387;16;61;;6;;
TROIS-PALIS;16388;16;130;;10;;
TURGON;16389;16;11;;;;
TUSSON;16390;16;23;;5;;
TUZIE;16391;16;24;;;;
VALENCE;16392;16;22;;;;
VARS;16393;16;342;;35;;
VAUX-LAVALETTE;16394;16;13;;;;
VAUX-ROUILLAC;16395;16;38;;;;
VENTOUSE;16396;16;13;;;;
VERDILLE;16397;16;44;;10;;
VERNEUIL;16398;16;9;;;;
VERRIERES;16399;16;25;;;;
VERTEUIL-SUR-CHARENTE;16400;16;83;;21;5;16
VERVANT;16401;16;22;;;;
VIBRAC;16402;16;32;;;;
LE VIEUX-CERIER;16403;16;7;;;;
VIEUX-RUFFEC;16404;16;16;;;;
VIGNOLLES;16405;16;16;;;;
VILHONNEUR;16406;16;51;;;;
VILLEBOIS-LAVALETTE;16408;16;129;;11;;
VILLEFAGNAN;16409;16;181;;28;;
VILLEGATS;16410;16;25;;;;
VILLEJESUS;16411;16;71;;11;;
VILLEJOUBERT;16412;16;44;;;;
VILLIERS-LE-ROUX;16413;16;20;;;;
VILLOGNON;16414;16;46;;10;;
VINDELLE;16415;16;127;;11;5;6
VITRAC-SAINT-VINCENT;16416;16;57;;10;;
V�UIL-ET-GIGET;16418;16;189;;13;;
VOUHARTE;16419;16;37;;6;;
VOULGEZAC;16420;16;24;;;;
VOUTHON;16421;16;59;;7;;
VOUZAN;16422;16;97;;12;;
XAMBES;16423;16;41;;10;;
YVIERS;16424;16;60;;9;;
YVRAC-ET-MALLEYRAND;16425;16;74;;;;
AGUDELLE;17002;17;17;;;;
AIGREFEUILLE-D'AUNIS;17003;17;646;;48;7;41
ILE-D'AIX;17004;17;26;;9;;
ALLAS-BOCAGE;17005;17;17;;;;
ALLAS-CHAMPAGNE;17006;17;31;;;;
ANAIS;17007;17;36;;;;
ANDILLY;17008;17;328;;19;;
